id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38663,Home in Brooklyn · ★4.74 · 5 bedrooms · 5 beds · 2.5 baths,165789,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Entire home/apt,900,3,44,22/07/2023,0.32,1,214,5,
38833,Rental unit in New York · ★4.83 · 1 bedroom · 1 bed · 1 private bath,166532,Matthew,Manhattan,Harlem,40.81800842,-73.94669342,Private room,205,2,176,01/09/2023,1.11,1,47,22,
39282,Rental unit in Brooklyn · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,168525,Gus,Brooklyn,Williamsburg,40.7106514,-73.95087433,Private room,148,30,257,11/07/2023,1.61,2,51,11,
39572,Rental unit in New York · ★4.86 · 1 bedroom · 1 bed,169927,Hubert,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,139,30,44,03/01/2019,0.28,2,365,0,
39593,Condo in Long Island City · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,110506,Myung,Queens,Sunnyside,40.74523,-73.92318,Private room,78,30,33,01/09/2023,0.21,1,177,4,
39704,Townhouse in Brooklyn · ★4.71 · 1 bedroom · 1 bed · 1 bath,170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68216,-73.94594,Entire home/apt,135,30,337,12/12/2019,2.12,2,0,0,
42300,Loft in New York · ★4.80 · 2 bedrooms · 2 beds · 2 baths,184755,Koray,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,750,30,74,05/06/2023,0.46,1,234,3,
42882,Rental unit in Staten Island · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,185978,Nicholas,Staten Island,St. George,40.64633,-74.08156,Private room,70,30,185,24/06/2023,1.23,1,270,7,
43105,Rental unit in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,188082,Thomas,Manhattan,Midtown,40.7449,-73.98499,Entire home/apt,170,30,4,21/04/2018,0.05,1,103,0,
44229,Home in Brooklyn · ★4.69 · 1 bedroom · 1 bed · 1 bath,181376,Carol,Brooklyn,Fort Greene,40.69287,-73.97108,Private room,110,30,232,05/09/2022,1.47,2,365,1,
